artist,album,song_title,lexical_complexity,rhyme_complexity,semantic_depth,narrative_structure,emotional_expressiveness,composite_score
Lil Wayne,If You’re Reading This It’s Too Late,Used To,0.3229858369295708,0.15317525054335798,0.7135235879785867,0.6596097864575288,0.5835880203206228,0.4612547696502249
Lil Wayne,A Gangsta’s Pain: Reloaded,Wockesha (Remix),0.33010905109160876,0.17540418493336166,0.7009948978374199,0.6811448872884851,0.6311809778864138,0.4784797646897017
Lil Wayne,Rich Gang (Deluxe),Bigger Than Life,0.36002542258046905,0.4143208912641027,0.7797108556749329,0.6638986457664371,0.6549383108559961,0.5620999375032709
Lil Wayne,Curtain Call 2,No Love,0.45605130563680574,0.7295783129242777,0.7565195380938744,0.652177324590099,0.6560722736313784,0.653949800391996
Dave,Unknown,Ghetto Kyote,0.3921738070060209,0.1307436162156682,0.7442976366013064,0.6326251922288603,0.7732981985650087,0.5095336113227134
Lil Wayne,Unknown,Green and Yellow,0.4255019006390579,0.1519335947914696,0.7160870810558865,0.5825982634522254,0.5371942172528754,0.46112977800526517
Drake,QUAVO HUNCHO,FLIP THE SWITCH,0.32193961414396116,0.30899730818268606,0.5074668171012188,0.632856069849813,0.560340477031469,0.45012711917847326
Dave,Unknown,Expensive Taste,0.22586800794884257,0.1993372124133207,0.3726807757377388,0.724171347782944,0.37559222889414234,0.35328820778691655
Lil Wayne,Grateful [Japanese Edition],I’m the One,0.27439388171087253,0.7712579724402211,0.6739071679096209,0.6546237420603612,0.19481518474780243,0.5196313012927687
Drake,Ready,I Invented Sex,0.1932043271130433,0.45199510227039313,0.5069376504432356,0.6770820787078465,0.19588497405888003,0.39376647769680706
Kanye West,Unknown,U Mad,0.37943720828577737,0.44330774853537436,0.67318589881021,0.6821467812484074,0.6303331166409173,0.5497401990684856
Drake,Young Sweet Jones 2,"You Know, You Know",0.3043639828780632,0.5455541753822861,0.7917979575485408,0.6788390226947595,0.6044114583610017,0.5783290770073066
Kendrick Lamar,CrasH Talk,Drunk,0.32758510298753,0.46674861419469243,0.8116589314708247,0.667313354067729,0.7158257446105685,0.5877981124726172
Drake,$ome $exy $ongs 4 U,BRIAN STEEL,0.37405051337202605,0.10557917926123263,0.5073430295401832,0.6731079429521942,0.23102251822536174,0.34984419848565146
Lil Wayne,Unknown,My Darlin Baby,0.35517388577296627,0.2635557793232052,0.7832156211025865,0.6782969464220555,0.42380635228125946,0.4800726586254721
Drake,Views,Pop Style,0.2883242672789437,0.2819169054501685,0.6195402040221223,0.672836528177975,0.12032020316855428,0.37704164048316247
Lil Wayne,Hitler Wears Hermes 8: Sincerely Adolf (Full Album),Bash money,0.5689120487014875,0.35350171627644855,0.4619894033471122,0.5800207795019062,0.6160343253102348,0.5047657014661651
Kendrick Lamar,First Ya Gotta Shake the Gate,Ain’t That Funkin Kinda Hard On You? (We Ain’t Never Gonna Stop Remix),0.3150011115810901,0.6812194429286866,0.6663177599269716,0.6341786563189721,0.401977181509135,0.5420908697834568
Lil Wayne,Graffiti ,I Can Transform Ya,0.17283470683654434,0.6849043459702895,0.6369442450742262,0.697844553301859,0.640592890153798,0.565977137900765
Kendrick Lamar,Unknown,Lack of Better Words,0.3433004330578394,0.5514294847418442,0.5720214070358844,0.7115775449394133,0.41721454555511167,0.5111012800561402
Lil Wayne,Dedication 5,Feds Watching (Remix),0.3575744157753966,0.42376470538343014,0.6339801631651399,0.6376595135472461,0.11844509037348026,0.42359003724074784
Drake,Pluto 3D,Tony Montana,0.4281853201589611,0.6497274260786734,0.5017677025899496,0.6644864508606547,0.5181113645362077,0.5517177016057903
Kanye West,Street Runnaz 66,Pride n Joy,0.23998886877183784,0.4071072314370699,0.7300304711920013,0.7201213912731826,0.5004075274833651,0.5038803900396857
Kanye West,Unknown,XTCY,0.4347923543512908,0.8097115120021559,0.6499010136997345,0.6663671505624106,0.479450940762308,0.6152118123475672
Kanye West,Tekashi 6ix9ine’s Greatest Hits,KANGA,0.29957929968852476,0.34669948628143205,0.47692637448022984,0.6242167288093969,0.6372452416230441,0.4630575640501273
Kanye West,Get Well Soon...,"The Good, The Bad, The Ugly",0.20006427523574977,0.6821743120057178,0.8543918834723373,0.7049183699122856,0.5517696528377108,0.5975264957974319
Dave,Unknown,Spirit Bomb (Remix),0.33195197593847814,0.1927587089311662,0.8313717689860293,0.6560049046692685,0.5366033992819569,0.4865758417744747
Kanye West,Can’t Tell Me Nothing,Throw Some D’s,0.3460944777953308,0.1793803652493159,0.6066252980267698,0.6298261446692373,0.15648371400706984,0.36115971097854865
Lil Wayne,"Like Father, Like Son",You Ain’t Know,0.2659943843733396,0.6260484429222668,0.6900257874651538,0.7143759172980545,0.3647757197288477,0.5278276766387431
Lil Wayne,Rebirth,On Fire,0.267294987323396,0.7969280485004457,0.2475203766723753,0.6726898753665848,0.11084149586488005,0.42526686540222947
Drake,More Life,Blem,0.24997251689478983,0.18741625583145255,0.4636850335804662,0.6943537001551626,0.0052264669967616835,0.2947839224755411
