artist,album,num_songs
Kendrick Lamar,Ctrl (Deluxe),1
Lil Wayne,POISON,1
Kanye West,Owl Pharaoh,1
Lil Wayne,Kill The Noise,1
Drake,My Krazy Life,1
Lil Wayne,Felt Like Cappin - EP,1
Dave,OFA: Deluxe Edition,1
Dave,Split Decision,4
Drake,BUSINESS IS BUSINESS (Metro’s Version),2
Lil Wayne,Baller Blockin’,1
Kanye West,Rebel Heart (Super Deluxe Edition),2
Lil Wayne,Strange Clouds (Target Exclusive),1
Kendrick Lamar,EA SPORTS FC 24 Soundtrack,1
Kanye West,This Is Acting / 1000 Forms Of Fear (2 CD Deux Albums Originaux),1
Kanye West,BULLY V1,2
Lil Wayne,"Young Money: The Mixtape, Vol. 1",1
Kanye West,Bitch I’m the Shit 2,1
Lil Wayne,X,1
Lil Wayne,5 ★ Stunna,2
Drake,Vices,1
Kendrick Lamar,The World Is Yours,1
Kendrick Lamar,90059,2
Kanye West,The Lost Remixes,1
Drake,Sean Don,1
Kendrick Lamar,The Yellow Album,1
Lil Wayne,Bigga Than Life ,5
Drake,X 100PRE,1
Kanye West,The Blueprint Collector’s Edition,4
Kanye West,The Man with the Iron Fists,1
Kendrick Lamar,"Here, My Dear",1
Kanye West,In a Perfect World... (I Like Edition),1
Kendrick Lamar,Longterm Mentality,1
Drake,Hook vs. Bridge,1
Drake,DIAMANTE,2
Lil Wayne,Guddaville,2
Kanye West,Vibes,1
Kendrick Lamar,MUSIC - SORRY 4 DA WAIT,3
Drake,Buy Or Bye 2 (Deluxe),1
Lil Wayne,Careless World: Rise of the Last King,2
Lil Wayne,Kiss the Ring,2
Kendrick Lamar,Tha Blackprint,1
Kendrick Lamar,Bastards of the Party (Original Motion Picture Soundtrack),1
Lil Wayne,Special Effects,1
Lil Wayne,Magic 3,1
Kendrick Lamar,Follow Me Home,4
Drake,FUTURE,1
Drake,Pink Friday: Roman Reloaded,1
Kanye West,The Death of Adam,1
Lil Wayne,Paper Trail,1
Lil Wayne,The Greatest DJ in the World Vol. 1,1
Drake,"Buffalo Butch, Vol. 1",1
Drake,Never Box Me In,1
Kendrick Lamar,Kamikaze,1
Dave,Six Paths,4
Kendrick Lamar,Songs of Experience,2
Lil Wayne,Chasing Summer,1
Drake,Human Nature*,1
Drake,No Ceilings,1
Drake,Come Home The Kids Miss You,1
Drake,Scary Hours,1
Lil Wayne,Do It For My Rachets,1
Kanye West,2001 Demo Tape,1
Kanye West,G.O.O.D.,2
Lil Wayne,Future & Juice WRLD Present… WRLD ON DRUGS,1
Kendrick Lamar,ARTPOP: ACT II,1
Kanye West,Life (Deluxe),1
Drake,Reincarnated,1
Lil Wayne,The Documentary 2 + 2.5 (Collector’s Edition),1
Kanye West,LOOK AT ME: THE ALBUM,1
Drake,LONG.LIVE.A$AP (Deluxe Edition),1
Kanye West,Featuring Ty Dolla $ign,2
Drake,Scary Hours 2,3
Lil Wayne,The Wolf of South Beach,1
Dave,Crop Circle,1
Kanye West,Blank Face LP,1
Lil Wayne,Mouse Trap,1
Kendrick Lamar,Greatest Hits (Deluxe Edition),1
Lil Wayne,I Can’t Feel My Face-Off (Unofficial),5
Lil Wayne,Heartbreak Drake,1
Drake,We the Best Forever,1
Lil Wayne,True 2 Myself,1
Dave,Stacko,1
Dave,Seasons ,1
Kanye West,HERD IMMUNITY 10,1
Lil Wayne,Woman to Woman (Deluxe Version),1
Kendrick Lamar,Avalanche,1
Lil Wayne,Care Package,1
Lil Wayne,Tha Carter V (2014 Version),3
Kanye West,Liberation,2
Kendrick Lamar,Prisoner of Conscious,1
Lil Wayne,Dedication 3,3
Drake,Feed The Streets 12,2
Kendrick Lamar,CrasH Talk,5
Kanye West,Hip Hop Is Dead,1
Lil Wayne,"The West Coast Saviour, Pt. 1 (Unofficial)",1
Lil Wayne,#3PackFromParis,1
Drake,Shock Value II,1
Kanye West,Strength of a Woman,1
Kendrick Lamar,Afraid of Heights,1
Kendrick Lamar,Setbacks (Free Version),3
Lil Wayne,Beam Me Up Scotty,1
Lil Wayne,Rap or Go to the League,1
Drake,GOD DID,2
Kanye West,MUSIC - SORRY 4 DA WAIT,1
Drake,The Best (Japan Exclusive),1
Kanye West,Blue Collar,1
Lil Wayne,The Laxative,1
Lil Wayne,F.A.M.E.,1
Kanye West,BULLY,5
Drake,I NEVER LIKED YOU (EXTENDED),1
Lil Wayne,Tha Block Is Hot,2
Dave,Pangea Summer Mix 2024 (DJ Mix),1
Lil Wayne,AT.LONG.LAST.A$AP,1
Lil Wayne,Ceinture noire : Décennie,1
Kendrick Lamar,The Lion King: The Gift,1
Kanye West,Def Jam Presents: Direct Deposit Vol. 1,1
Drake,Last Train to Paris (Deluxe Edition),1
Drake,The Black Bar Mitzvah,1
Lil Wayne,Sucka Free,1
Kendrick Lamar,Gangsta Bangaz Vol. 1,1
Lil Wayne,"R & Weezy R&B, Part 1",1
Kanye West,Finding Forever,2
Drake,Tha Carter IV,2
Lil Wayne,"Trappin’ A’int Eazy, Vol, 3",1
Kanye West,Harverd Dropout,1
Drake,#FYM12,1
Kendrick Lamar,The Magic Hour Collection,1
Lil Wayne,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),1
