artist,album,num_songs,lexical_complexity_mean,lexical_complexity_max,lexical_complexity_balanced,rhyme_complexity_mean,rhyme_complexity_max,rhyme_complexity_balanced,semantic_depth_mean,semantic_depth_max,semantic_depth_balanced,narrative_structure_mean,narrative_structure_max,narrative_structure_balanced,emotional_expressiveness_mean,emotional_expressiveness_max,emotional_expressiveness_balanced,composite_score_mean,composite_score_max,composite_score_balanced
Kanye West,The College Dropout,14,0.4249573477508188,0.6452263796948673,0.5130649605284382,0.4261291237364085,0.758303295962821,0.5589987926269735,0.6283883125233014,0.9301568167703193,0.7490957142221086,0.6518758990589049,0.6880822456830038,0.6663584377085444,0.4039801371665697,0.8328549374906301,0.5755300572961939,0.4957788252810758,0.6106902496397038,0.541743395024527
Drake,Certified Lover Boy,21,0.3302890182818894,0.4776052419628393,0.3892155077542694,0.3606790681599258,0.848589684268871,0.5558433146035039,0.6422566518691275,0.906831153683458,0.7480864525948596,0.6779243937152499,0.715072415461329,0.6927836024136815,0.4986877727882437,0.7727127213520483,0.6082977522137656,0.4861051146851211,0.6288673503118432,0.5432100089358098
Drake,For All The Dogs: Scary Hours Edition,27,0.4186287478305912,0.7233345392623666,0.5405110644033013,0.2952620086520398,0.8239336493803799,0.5067306649433758,0.669966264772966,0.93108768481211,0.7744148327886237,0.6512746558453938,0.690649629600777,0.667024645347547,0.3944283781615024,0.8313078399049113,0.569180162858866,0.4681113786928308,0.5635947968125511,0.506304745940719
Drake,Unknown,103,0.3601944263652403,1.0,0.6161166558191442,0.3698618345026833,0.9363454232178632,0.5964552699887553,0.6230262371037905,0.9205579413305964,0.7420389187945129,0.6652877801099286,0.7441645515284491,0.6968384886773368,0.3969617595338414,0.8500642602561257,0.5782027598227552,0.4682951102427346,0.7387853027434285,0.5764911872430122
Dave,Unknown,71,0.3846438993018135,0.7539557762548753,0.5323686500830382,0.2492626361288711,0.8825223907707641,0.5025665379856283,0.6660900087519551,0.9267782170812412,0.7703652920836696,0.6453077782055606,0.7326001454582095,0.6802247251066202,0.440468494740283,0.9079373236950234,0.6274560263221791,0.4573523063218622,0.7710613515658178,0.5828359244194445
Drake,Dark Lane Demo Tapes,14,0.3773374113650892,0.49066841883183,0.4226698143517855,0.3602762317493027,0.8257073489636716,0.5464486786350503,0.6149282907493733,0.8755695456104047,0.7191847926937858,0.656217290618201,0.6834378958498661,0.667105532710867,0.3700716238611595,0.6952886910322547,0.5001584507295975,0.4609691167251802,0.5373509941890131,0.4915218677107134
Kanye West,JESUS IS KING,10,0.3926638383061191,0.4966453161623744,0.4342564294486212,0.4720949455537874,0.8531174752804959,0.6245039574444708,0.4983230404577353,0.7814978774200911,0.6115929752426776,0.6342943390334943,0.709158357517217,0.6642399464269835,0.3023528704550414,0.6336265891406414,0.4348623579292814,0.4518358370872501,0.6648912841236067,0.5370580159017928
Lil Wayne,Da Drought 3,12,0.3756633305624227,0.435432605494475,0.3995710405352436,0.2940323780462967,0.5137243289197547,0.3819091583956799,0.703540119228239,0.8018904922022752,0.7428802684178535,0.6547876147783334,0.6945157837964833,0.6706788823855934,0.4561439839125789,0.6330744300009322,0.5269161623479202,0.4787957234689723,0.5559789107896704,0.5096689983972515
Drake,So Far Gone,17,0.310095322578351,0.4195321660159868,0.3538700599534053,0.3369111687177538,0.8122323532328651,0.5270396425237983,0.6511830212569362,0.8448647617115081,0.7286557174387649,0.671421796749385,0.7114997902054323,0.6874529941318039,0.5115078884229349,0.7228503344538235,0.5960448668352903,0.4794983081434906,0.6181223619872726,0.5349479296810034
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe Version)",15,0.3354827034079486,0.4539753737970128,0.3828797715635743,0.3637905040671051,0.6625448851152951,0.4832922564863811,0.7820931032963879,0.9013986103816684,0.8298153061305001,0.6738544843732418,0.7160017892966625,0.6907134063426101,0.6377230109939444,0.8668641837492564,0.7293794800960691,0.5430855622124188,0.6585481769982904,0.5892706081267673
Kanye West,Late Registration,16,0.3718787038630935,0.5352291692807614,0.4372188900301607,0.450503609681521,0.7949560987552156,0.5882846053109989,0.6542134431132339,0.8808145674721084,0.7448538928567838,0.6575916040832639,0.7232239700783435,0.6838445504812958,0.3747487295968984,0.7210334640178184,0.5132626233652664,0.491432818347515,0.674828275839654,0.5647910013443707
Lil Wayne,Tha Carter VI (Bonus),8,0.3967135185120317,0.4844819626165511,0.4318208961538394,0.3376004128754221,0.5502181859690468,0.422647522112872,0.6322709532067228,0.8421081623121145,0.7162058368488795,0.6375854584096856,0.6836397040388988,0.656007156661371,0.3715629334841203,0.666401118341517,0.489498207427079,0.4601474030208833,0.5669654375461328,0.5028746168309831
Kanye West,Kanye West Presents: Good Music - Cruel Summer,6,0.362891104915708,0.5669412000261206,0.444511142959873,0.3284699261481048,0.5248510144765076,0.4070223614794659,0.655228616781737,0.7775886307903672,0.7041726223851892,0.6430592158334903,0.6699072968470663,0.6537984482389207,0.4741983448824855,0.823367617774071,0.6138660540391196,0.4770399772280358,0.5533515615301018,0.5075646109488623
Lil Wayne,Tha Carter IV,20,0.3721203778747598,0.5100782698042092,0.4273035346465396,0.2566070530547916,0.7151032263515577,0.440005522373498,0.7208386950069812,0.9315164677535388,0.8051098041056042,0.6514722098478056,0.7195512631604292,0.678703831172855,0.5760068283996811,0.8446092341130826,0.6834477906850418,0.4956657749971532,0.5749170479400286,0.5273662841743034
Kendrick Lamar,To Pimp a Butterfly,16,0.3753246360931515,0.4716520354235214,0.4138555958252994,0.3817244107806037,0.8024085418703377,0.5499980632164974,0.7349949320596779,0.8871704414386777,0.7958651358112778,0.6638192230344426,0.7269593308662781,0.6890752661671768,0.5903430988074025,0.7863967822795402,0.6687645721962576,0.5351365195423637,0.6722333220664025,0.5899752405519793
